Character Name,Alternative Name,Category,Description,Source References,,,,,
Ekaterina,,Pet Cat,Suneo's pet cat with a pedigree certificate. It ran away from home but came back a week later.,"Long Novel Volume 16, Page 8",,,,,
Edison,,Inventor,"A character from the book Edison that Nobita received as a Christmas present. Thomas Alva Edison was an American inventor famous for the phonograph, incandescent light bulb, and telephone improvements. He holds over 1,000 patents.","FF Land Volume 4, Page 167; TenComi Volume 45, Page 85; Plus Volume 5, Page 107; Complete Works Volume 4, Page 425",,,,,
Esper Boys Squad,Esper Shonentai,Boys Squad,"A boys squad led by Captain Ken protecting world peace. They confronted Dasai, King of the Demon World, and defeated him. The group has four members plus a female named Yuri. They use a special move called Psycho Wave together.","FF Land Volume 29, Page 80; Complete Works Volume 10, Page 193",,,,,
Emodran,Emodoran,Robot,A robot from the 22nd century in the underground world.,"The Longest Series Volume 15, Page 181",,,,,
Dr. Jiang Lai,Great Professor,Professor,"When Nobita got a perfect score, a professor from Tokushiro University appeared on TV via PR radiation. He said Nobita's perfect score was a monumental achievement comparable to the Apollo 11 moon landing.","TenComi Volume 25, Page 75; FF Land Volume 36, Page 111; Complete Works Volume 9, Page 577",,,,,
Frilled Frog,,Animal,A frog with all-purpose reins wrapped around its neck.,"TenComi Volume 35, Page 169",,,,,
Ruffed Swallow,Erimaki Tsubame,Animal,A swallow with all-purpose reins wrapped around its neck.,"TenComi Volume 35, Page 179",,,,,
El,,Young Man,"A young man serving the Mu Federation. To save the world from Poseidon's attack, Nobita and his friends joined El to infiltrate the Demon Rock Castle.","The Longest Novel Volume 4, Page 126",,,,,
Principal,Zoo Director,Zoo Director,"The director of the zoo Uncle Nobirou visited when little. During the war, she was ordered by a soldier to kill Hanao the elephant.","TenComi Volume 5, Page 181; FF Land Volume 9, Page 96; Complete Works Volume 4, Page 178",,,,,
Disk,UFO Enthusiast,UFO Enthusiast,A UFO enthusiast fooled by Suneo's false information and fake UFO photos.,"TenComi Volume 13, Page 170",,,,,
Lord Enma,Enma-Sama,Mythological Figure,"In a story about Suneo's great-grandmother, Lord Enma pulls out the tongues of liars in hell.","TenComi Volume 22, Page 35; FF Land Volume 32, Page 109; Complete Works Volume 7, Page 455",,,,,
Doctor (Medicine Makes You Sick),Doctor,Doctor,"After Nobita's body became cold from the medicine, his mother brought him to the doctor. Mom fainted seeing Nobita, who had turned into a ghost from too much medicine. The doctor ended up examining his mother, diagnosing her with needing complete bed rest.","FF Land Volume 7, Page 30; Complete Works Volume 4, Page 460",,,,,
Doctor (Pretending to Be Sick),Doctor,Doctor,"A doctor wearing glasses came for a check-up. When examining Nobita, who had taken swelling medicine, he panicked, saying I have never seen a disease like this before.","FF Land Volume 6, Page 140; Complete Works Volume 3, Page 163",,,,,
Royal Collector,,Collector,An old man who collected royal scepters due to the cat-snout virus epidemic. He was well-dressed in a double-breasted suit. A dated August 12th item sold for 2 million yen. He came to buy Nobita's bottle.,"TenComi Volume 9, Page 43; FF Land Volume 16, Page 19; Complete Works Volume 3, Page 575",,,,,
Golden Hat,,Dream Hero,Nobita's dream-time hero wearing a hat pulled low over his neck and a cape. He fights evil alongside Dryon.,"Long Series Volume 14, Page 6",,,,,
King,King,Ruler,The king of the Yumirume Kingdom ruling eighty cities. Their land is being taken over by Demon Emperor Odorome. He awaits the Silver Swordsman foretold in prophecy and struggles to control Princess Shizukaria.,"The Longest Novel Volume 14, Page 64",,,,,
Prince (Yume TV),Prince,Fictional Prince,"A prince in Shizuka's dream on Yume TV. Shizuka was kidnapped and imprisoned. When attacked by a bird-like monster, he appeared dramatically on a white horse. He threw long spears, pierced monsters, and defeated them. He ignored another prince (Nobita) and took Shizuka on his horse.","TenComi Volume 15, Page 11; FF Land Volume 20, Page 85; Complete Works Volume 6, Page 374",,,,,
Prince (Snow White Course),Prince,Fictional Prince,A prince in the Snow White course at Dreamersland. He chose Shizuka from seven Snow Whites and was beaten by the other six women.,"Long Series Volume 16, Page 99",,,,,
Prince (Little Mermaid),Prince,Fairy Tale Character,"The prince from The Little Mermaid. He was supposed to marry the neighboring princess, but Doraemon prevented this, and he married the mermaid princess instead.","TenComi Volume 19, Page 55; FF Land Volume 29, Page 136; Complete Works Volume 11, Page 132",,,,,
Ousenshu,Matsui-Senshu,Baseball Player,The player who hit the home run ball Suneo obtained. In TenComi he is called Matsui-senshu.,"FF Land Volume 7, Page 178; Complete Works Volume 5, Page 370",,,,,
Werewolf,,Mythical Creature,Nobita used werewolves as his essay subject. They transform when looking at the moon. Nobita said his mom's angry face is scarier.,"TenComi Volume 11, Page 43; FF Land Volume 13, Page 61; Complete Works Volume 7, Page 63",,,,,
Mr. Okawa,Okawa-San,Neighbor,A family living near Nobita's house went hiking.,"FF Land Volume 2, Page 176; Complete Works Volume 2, Page 372",,,,,
Big Alien,Large Alien,Space Alien,Aliens with bodies larger than humans. The piggy bank floated in space until Doraemon and Nobita found it using their Treasure Planet Exploration Rocket. He chased them away from the gold coins.,"FF Land Volume 32, Page 153; TenComi Volume 44, Page 179; Complete Works Volume 9, Page 473",,,,,
Ojiro,,Baby Ghost,"Q-taro's younger brother with a yellow, round body and single curly hair. Since it is a baby ghost, it mostly says Bakeratta. Note: This character is from Obake no Q-taro.","Complete Works Volume 20, Page 277",,,,,
Ota-San,Ota-San,Acquaintance,The person Nobita's dad entrusted his golf bag to.,"TenComi Volume 8, Page 187; TenComi Volume 34, Page 94; FF Land Volume 15, Page 97; FF Land Volume 42, Page 126; Complete Works Volume 3, Page 513; Complete Works Volume 14, Page 374",,,,,
Dashu Wangsuke,Oodoro Bosuke,Wanted Criminal,"A wanted fugitive with 53 robbery convictions in Akisu. He tried to sneak into Nobita's house. Photo details: Contour K-654, Nose S-027, Mayu T-109, Mouth B-33, Hairstyle M-778.","TenComi Volume 4, Page 70; FF Land Volume 9, Page 12; Complete Works Volume 3, Page 422",,,,,
Henchman of Oodoro Nozomu,Oodorobosuke's Henchman,Accomplice,"He hid with Nozomu Odoro, calling him big brother. He found the wanted poster and searched for his older brother.","TenComi Volume 4, Page 75; FF Land Volume 9, Page 17; Complete Works Volume 3, Page 427",,,,,
Shota Ohara,Ohara Shota,Manga Character,"A boy living with Q-taro in the manga Obake no Q-taro. His nickname is Sho-chan. Note: From Obake no Q-taro, not Doraemon.","Complete Works Volume 20, Page 276",,,,,
Master Painter,Ooyagahaku,Painter,A famous painter who appeared on television. An old friend of Nobita's dad.,"TenComi Volume 43, Page 170; Complete Works Volume 8, Page 630",,,,,
Nobuyo Oyama,,Voice Actress,"The voice actress of Doraemon from 1979-2005, mentioned in Doraemon story context.","TenComi Volume 24, Page 129; FF Land Volume 29, Page 103; Complete Works Volume 8, Page 543",,,,,
The Old Man Who Runs the Candy Shop,Old Candy Shop Owner,Shop Owner,"An old man chased his pet myna bird, still holding its cage, to an empty lot. The shop sells dorayaki.","FF Land Volume 13, Page 89; Color Volume 5, Page 78; Complete Works Volume 4, Page 100",,,,,
The Confectionery Shop Owner,Candy Shop Owner,Shop Owner,"The shop owner Nobita went to buy sweets for customers. When they saw Nobita transform into a cat after eating animal transformation biscuits, they were shocked and their jaws dropped.","TenComi Volume 1, Page 36; FF Land Volume 4, Page 86; Complete Works Volume 2, Page 510",,,,,
The Man Who Went to Borrow Money,Man Borrowing Money,Middle-Aged Man,"A middle-aged man went to borrow money at the bank. Fukuro-man saw him leaving and followed, promising protection. The man could not borrow money.","TenComi Volume 34, Page 42; FF Land Volume 30, Page 142; Complete Works Volume 10, Page 320",,,,,
Okame Mask,Okamekamen,Fictional Hero,A justice hero in Funyako Funyao's manga Lion Mask. Oshishi Mask's cousin appearing in the November issue.,"TenComi Volume 3, Page 16; FF Land Volume 4, Page 152; Complete Works Volume 1, Page 537",,,,,
Uncle from Okayama,Okayama Uncle,Family Member,Nobita's uncle sent kibi dango (millet dumplings).,"TenComi Volume 3, Page 174; FF Land Volume 9, Page 64; Complete Works Volume 2, Page 266",,,,,
Okiku,,Ghost Story Character,It appeared in a ghost story told by Gian at a gathering. The story is based on Bancho Sarayashiki.,"TenComi Volume 2, Page 30; FF Land Volume 5, Page 58; Complete Works Volume 1, Page 704",,,,,
Customer (Animal Transformation Biscuits),Customer,Customer,"Nobita's mom's customer. She ate four animal transformation biscuits and transformed into a horse, chicken, monkey, and frog. Nobita called her glutton. Mom nearly saw the transformations, but Doraemon stopped her.","TenComi Volume 1, Page 34; FF Land Volume 4, Page 84; TenComi Volume 37, Page 103; FF Land Volume 45, Page 147; Complete Works Volume 2, Page 508; Complete Works Volume 11, Page 188",,,,,
Customer (Substitute Pendant),Customer,Customer,"Nobita's mom's customer, a woman wearing glasses. Mom had an errand and Nobita changed appearance using the Substitute Pendant to take over. Nobita transformed into Shizuka then another man. Customers were shocked. Upon seeing a faded photo of Mom, the customer fainted.","FF Land Volume 17, Page 80; Complete Works Volume 5, Page 70",,,,,
Customer (Disaster Training Machine),Customer,Customer,"Nobita's mom's customer, a well-dressed man in suit and top hat. When Mom was out, he house-sat. A disaster training machine caused fire, earthquake, flood, and lightning. He cried, refused to stay, spread a cushion at the door, and waited sipping tea.","TenComi Volume 11, Page 74; FF Land Volume 14, Page 166; Complete Works Volume 5, Page 84",,,,,
Customer (Habit-Correcting Gas),Customer,Customer of Dad,"Nobita's dad's customer wearing glasses and suit. He was affected by Nobita's boogers, Mom's elongated tongue, and Dad's leg shaking via habit-correcting gas.","TenComi Volume 7, Page 113; FF Land Volume 10, Page 179; Complete Works Volume 3, Page 475",,,,,
Customer (Wall-Passing Magic),Customer,Customer,"Nobita's mom's customer with glasses, suit, and mustache. Following Doraemon's instructions via Wall-Passing Magic, he bumped into a wall and fainted. When trying to eat sweets, Doraemon appeared through the table, shocking him again.","Complete Works Volume 3, Page 80",,,,,
Wife (Athletic House),Wife,Customer,Nobita's mom's customer who became a victim of the Athletic House.,"TenComi Volume 19, Page 7; FF Land Volume 22, Page 79; Complete Works Volume 9, Page 244",,,,,
Wife (Donbura Powder),Wife,Customer,"Nobita's mom's customer chatting in the living room. She saw Nobita fall from the ceiling via Donbura Powder, then saw him swimming out and imitated him by swimming there.","TenComi Volume 12, Page 98; Complete Works Volume 6, Page 258",,,,,
Peter O'Connor,,Documenter,This character appeared in materials for the Nessie debate. Peter took a picture of Nessie.,"TenComi Volume 6, Page 127",,,,,
Monkey,,Animal,"While Shizuka danced ballet to Soran Bushi, a monkey snatched the fluffy obi and ran away. He was surprised to float mid-air and let go of the Fluffy Belt.","TenComi Volume 2, Page 73; FF Land Volume 8, Page 99; Complete Works Volume 5, Page 103",,,,,
Grandfather (Peach Boat),Grandpa,Old Man,"The old man picked up Nobita's Peach Boat and cut open a peach. Hearing Nobita would defeat ogres at Onigashima, he bestowed family armor and sword.","TenComi Volume 9, Page 177; FF Land Volume 19, Page 27; Complete Works Volume 5, Page 263",,,,,
Pushy Salesman,Oshiuri,Salesman,A pushy salesman came to Gian's house. They were chased away to Gian's house where Gian had been turned into a robot by House Robot.,"TenComi Volume 17, Page 131; FF Land Volume 20, Page 149; Complete Works Volume 7, Page 297",,,,,
Uncle (Shizuka's Uncle),Uncle,Relative,Shizuka's uncle who met her for the first time in 6 years.,"TenComi Volume 30, Page 118; FF Land Volume 38, Page 96; Complete Works Volume 12, Page 348",,,,,
Uncle (Forgot New Year's Money),Uncle,Family Member,"Nobita's uncle visited during New Year, drank with Dad, forgot to give Nobita 3,000 yen, then remembered and gave it.","Complete Works Volume 10, Page 435",,,,,
Uncle (Reluctantly Gives Money),Uncle,Family Member,A stingy uncle who reluctantly gave New Year money thanks to a trick.,"TenComi Volume 32, Page 119; FF Land Volume 40, Page 107; Complete Works Volume 10, Page 501",,,,,
Uncle (Never Gives Money),Uncle,Family Member,Nobita's stingiest uncle who eats and drinks at the Nobi house yearly but never gives New Year money.,"Complete Works Volume 10, Page 439",,,,,
Uncle (Car Loan),Uncle,Family Member,"Nobita's dad's younger brother bought a car and golf clubs on loan, then came to Nobita's dad for money when payments became difficult.","TenComi Volume 4, Page 81; FF Land Volume 9, Page 45; Plus Volume 5, Page 10; Complete Works Volume 1, Page 663; Complete Works Volume 12, Page 574",,,,,
Uncle (Persimmon Tree),Uncle,Family Member,Nobita's dad's younger brother told the story of the mysterious persimmon tree.,"TenComi Volume 34, Page 68; FF Land Volume 42, Page 100; Complete Works Volume 11, Page 702",,,,,
Uncle (Year of Rat Money),Uncle,Family Member,Nobita's uncle giving New Year money in the Year of the Rat.,"TenComi Volume 16, Page 66",,,,,
Uncle (Picture Book Gift),Uncle,Family Member,The uncle who gave Nobita a picture book as a gift. Nobita wrote a thank-you letter using the Model Letter Pen.,"TenComi Volume 23, Page 15; FF Land Volume 35, Page 71; Complete Works Volume 7, Page 535",,,,,
Uncle (Pen Set Gift),Uncle,Family Member,The uncle who gave Nobita a ballpoint pen and mechanical pencil set.,"TenComi Volume 23, Page 94; FF Land Volume 35, Page 16; Complete Works Volume 8, Page 568",,,,,
Uncle (Mother's Sibling),Uncle,Family Member,Nobita's mother's sibling who was home when Nobita's grandmother collapsed.,"FF Land Volume 30, Page 132; Plus Volume 1, Page 14; Complete Works Volume 12, Page 190",,,,,
Uncle (Pocket Money),Uncle,Family Member,Nobita's uncle giving pocket money.,"TenComi Volume 18, Page 158; TenComi Volume 27, Page 66; FF Land Volume 28, Page 64; FF Land Volume 28, Page 67; Complete Works Volume 9, Page 303; Complete Works Volume 9, Page 306",,,,,
Uncle (1000 Yen Pocket Money),Uncle,Family Member,"Nobita's uncle giving 1,000 yen pocket money.","FF Land Volume 5, Page 150; Plus Volume 1, Page 24; Complete Works Volume 5, Page 518",,,,,
Uncle (New Year on Way to Shizuka),Uncle,Family Member,Nobita's uncle meeting Nobita on his way to Shizuka's house and giving New Year money.,"TenComi Volume 20, Page 144; FF Land Volume 24, Page 76; Complete Works Volume 6, Page 214",,,,,
Oshishi Mask,Oshikamen,Fictional Hero,"A justice hero in Lion Mask manga. The younger brother of Lion Mask. To rescue his brother, he infiltrated Darkness Gang headquarters but was captured.","TenComi Volume 3, Page 11; FF Land Volume 4, Page 147; Complete Works Volume 1, Page 532",,,,,
Lost Little Girl,Little Girl,Lost Child,A lost girl was safely found using an automatic return shipping label.,"TenComi Volume 34, Page 99; FF Land Volume 42, Page 131; Complete Works Volume 14, Page 379",,,,,
Castle Ball Girl,Created Girl,Created Girl,A girl from another world created with the Creation Set. She asked Shizuka to bring out the pumpkin carriage.,"The Longest Series Volume 15, Page 147",,,,,
Ochime Dojiro,Ochime Dojirou,Handsome Star,A handsome star pursuing Sumire Hoshino. The wolf was startled by Nobita's shadow puppet and ran away.,"TenComi Volume 19, Page 132; TenComi Volume 24, Page 114; FF Land Volume 31, Page 140; FF Land Volume 33, Page 120; Complete Works Volume 7, Page 552; Complete Works Volume 8, Page 516",,,,,
Princess Otto,Ottohime,Dragon Palace Princess,The princess of the Dragon Palace at the ocean bottom. She is a descendant of the continent of Mu.,"TenComi Volume 25, Page 163; FF Land Volume 27, Page 22; Complete Works Volume 10, Page 373",,,,,
Lost Item Returner,Honest Person,Honest Person,The person who brought a trunk to the police station. The police officer felt nostalgic and suggested staying overnight.,"TenComi Volume 30, Page 118; FF Land Volume 38, Page 96; Complete Works Volume 12, Page 348",,,,,
Ototo Bird,Ototodori,Bird,A bird living on planet Koya Koya that can fly through outer space.,"The Longest Novel Volume 2, Page 126",,,,,
Otsunashi-San,Otonashisan,Quiet Girl,"A quiet acquaintance of Nobita's with polite, refined manners.","FF Land Volume 10, Page 185; Complete Works Volume 4, Page 321; Plus Volume 6, Page 84",,,,,
Ghost (Mount Oi),Demon,Demon,A large demon living on Mount Oi with two horns and a metal club.,"The Longest Series Volume 15, Page 135",,,,,
Ghost (Onigashima),Demon,Demon,"A giant on Onigashima Island with fiery red hair, two horns, dead-fish eyes, and a tengu-like nose. He feeds on animal flesh and drinks blood. His true identity was a Dutch captain stranded in Japan.","TenComi Volume 9, Page 172; FF Land Volume 19, Page 22; Complete Works Volume 5, Page 258",,,,,
Big Brother,,Bully,A boy bullied by Gian and Suneo who bullied Nobita out of spite.,"FF Land Volume 1, Page 35; Complete Works Volume 1, Page 45",,,,,
Big Brother's Younger Sister,,Child,The younger sister wanted to see her older brother's strong side.,"FF Land Volume 1, Page 44; Complete Works Volume 1, Page 54",,,,,
Big Brother's Younger Brother,,Child,The younger brother wanted to see his older brother's strong side.,"FF Land Volume 1, Page 44; Complete Works Volume 1, Page 54",,,,,
Oni-Baba,Onibaba,Traditional Ghost,It appeared in a ghost story told by Shizuka at Gian's gathering.,"TenComi Volume 2, Page 30; FF Land Volume 5, Page 58; Complete Works Volume 1, Page 704",,,,,
Will-O'-The-Wisp,Onibi,Fireball Ghost,Nobita summoned the fireball ghost for Assorted Ghosts. He used it as a flashlight during a test of courage. Gian and Suneo were terrified and ran away.,"TenComi Volume 31, Page 32; FF Land Volume 27, Page 70; Complete Works Volume 10, Page 386",,,,,
Grandma (Crosswalk Helper),Grandma,Older Woman,An elderly woman had difficulty crossing a street without traffic lights. Doraemon used the Pocket Traffic Light to stop cars.,"Color Volume 4, Page 20; Complete Works Volume 15, Page 86",,,,,
Grandma (Scary Story Teller),Grandma,Story Character,She appeared in a scary story Nobita's mom told. An old woman who lives alone in the mountains.,"TenComi Volume 2, Page 27; FF Land Volume 5, Page 55; Complete Works Volume 1, Page 701",,,,,
Grandma (Momotaro Helper),Grandma,Helper,"The old woman picked up the Peach Boat, cut a peach, named Momotaro, and gave him millet dumplings for his journey to Onigashima.","TenComi Volume 9, Page 177; FF Land Volume 19, Page 27; Complete Works Volume 5, Page 263",,,,,
Ghost Squid,Ghost Squid,Sea Monster,A 30-meter giant squid that punctured and destroyed a tent apartment capable of withstanding deep-sea pressure.,"The Epic Volume 4, Page 50",,,,,
O-Taro the Bald,Ohage no Otaro,Manga Character,"A character on a notebook Nobita bought. Resembling Obake no Q-taro but completely bald with no hair. Popular 20 years ago in the Doraemon universe, the notebook cost 10 yen.","TenComi Volume 28, Page 151",,,,,
Aunt (Furoshiki),Auntie,Family Member,Nobita's aunt brought back fruit using her souvenir furoshiki.,"TenComi Volume 34, Page 74; FF Land Volume 24, Page 109; TenComi Volume 37, Page 62; FF Land Volume 42, Page 106; FF Land Volume 45, Page 106; Complete Works Volume 8, Page 382; Complete Works Volume 13, Page 91; Complete Works Volume 14, Page 195",,,,,
Aunt (Sewashi Letter),Auntie,Family Member,The wife of the uncle to whom Nobita delivered a letter. Sewashi brought the letter and someone brought food.,"FF Land Volume 1, Page 164; Complete Works Volume 2, Page 18",,,,,
Aunt (New Year Money),Auntie,Family Member,An aunt who often comes during New Year and gives money. She has a son she sometimes brings along.,"FF Land Volume 7, Page 4; TenComi Volume 36, Page 23; FF Land Volume 44, Page 51; Complete Works Volume 8, Page 225; Complete Works Volume 9, Page 669; Complete Works Volume 10, Page 437",,,,,
Aunt's Child,Auntie's Child,Family Member,The aunt's son visiting for New Year. He had met Nobita before and flew a kite with him in the vacant lot.,"FF Land Volume 7, Page 4; Complete Works Volume 8, Page 225",,,,,
Flower Arrangement Teacher,Ohana Sensei,Teacher,Nobita's mom's flower arrangement teacher.,"TenComi Volume 28, Page 114; TenComi Volume 36, Page 51; FF Land Volume 35, Page 162; FF Land Volume 44, Page 79; Plus Volume 3, Page 119; Complete Works Volume 11, Page 508; Complete Works Volume 12, Page 667; Complete Works Volume 14, Page 516",,,,,
Noriko Ohara,,Voice Actress,"The voice actress of Nobita Nobi from 1979-2005, mentioned in Doraemon story context.","TenComi Volume 24, Page 129; FF Land Volume 29, Page 103; Complete Works Volume 8, Page 543",,,,,
Boy Who Almost Drowned,Boy Drowning,Child,"A boy fell into a river pulling a toy. He wore a sensory transmission antenna Nobita threw, allowing Nobita to sense the drowning. Nobita and Doraemon rescued him.","TenComi Volume 37, Page 30; FF Land Volume 45, Page 74; Complete Works Volume 14, Page 326",,,,,
Girl Who Almost Drowned,Girl Drowning,Child,"A girl nearly drowned in a river. Nobita rescued her with the long lasso. She had seen Suneo using the lasso, so Nobita was suspected of pranking.","TenComi Volume 16, Page 79; FF Land Volume 18, Page 34; Complete Works Volume 8, Page 148",,,,,
Drowning Boy,Boy in Water,Child,"A boy was drowning in an area. Two children nearby shouted for help. A 3D Copy Paper Nobita made floated like a life preserver, helping the child reach shore.","TenComi Volume 13, Page 167; FF Land Volume 15, Page 172; Complete Works Volume 7, Page 60",,,,,
Ant About to Drown,Drowning Ant,Animal,"The Animal Transformation Gratitude Potion container tipped over, and four ants nearly drowned in the spilled liquid. In retaliation, an ant carried Nobita and pushed him into the river.","TenComi Volume 35, Page 111; FF Land Volume 44, Page 145; Complete Works Volume 12, Page 533",,,,,
Boy Playing Store,Shopkeeper Boy,Child,A little boy pretended to be a shopkeeper using leaves as money while a girl shopped. The boy sold video games.,"Color Volume 6, Page 133; Complete Works Volume 10, Page 150",,,,,
Girl Playing Store,Shopkeeper Girl,Child,A little girl pretended to be a shopkeeper using stones as merchandise while a boy shopped. She sold video games.,"Color Volume 6, Page 134; Complete Works Volume 10, Page 151",,,,,
Wife With Flying Carpet,Flying Carpet Wife,Customer,"The wife of an acquaintance invited to Nobita's home. Sitting on a flying carpet cushion, when she said I came flying, she was sent flying through the air.","TenComi Volume 29, Page 132; FF Land Volume 37, Page 76; Complete Works Volume 11, Page 566",,,,,
Oyagumo,Parent Cloud,Creature,"Nobita captured a flying cloud. At Gian's house, the cloud returned, shattered the glass, and went back to the sky","FF Land Volume 29, Page 78; Color Volume 4, Page 143; Complete Works Volume 12, Page 107",,,,,
Thumbelina,Oyayubitom,Fictional Character,A fictional character egg that came out of the egg. It retrieved the stamp Nobita's mom dropped behind the dresser.,"TenComi Volume 40, Page 45",,,,,
Dutch Captain,Dutch Captain,Historical Figure,A Dutch captain whose ship sank while sailing to Spain. The crew drifted ashore in Japan. Villagers mistook him for a demon because they had never seen a European. He lived on Onigashima Island.,"TenComi Volume 9, Page 183; FF Land Volume 19, Page 33; Complete Works Volume 5, Page 269",,,,,
Skeleton Ghost,Skeleton Ghost,Supernatural Being,"Doraemon used his Ghost Detector to find an old well where this skeleton ghost lived. Made of only bones, it could fly. It lived quietly believing no one feared ghosts anymore. Doraemon persuaded it to scare Suneo, but Suneo's dog took its shinbone, and it returned home in tears.","FF Land Volume 1, Page 50; Color Volume 5, Page 18; Complete Works Volume 2, Page 59",,,,,
Lantern Ghost,Lantern Ghost,Supernatural Being,Doraemon used his Ghost Detector to find an old well where this lantern ghost lived. It has a mouth and glows faintly.,"FF Land Volume 1, Page 50; Color Volume 5, Page 18; Complete Works Volume 2, Page 59",,,,,
Noppera-Bo,Faceless Ghost,Supernatural Being,"Doraemon used his Ghost Detector to find an old well where this faceless ghost lived. It has no eyes and a smooth face, and can fly. It lived quietly believing no one feared ghosts anymore. Doraemon persuaded it to scare Suneo, but Suneo drew on its face.","FF Land Volume 1, Page 50; Color Volume 5, Page 18; Complete Works Volume 2, Page 59",,,,,
,,,,,,,,,
President Carter,Jimmy Carter,Character,The 39th President of the United States. Nobita saw him from home using the Omnipotent Glasses.,"FF Land Volume 25, Page 123; Plus Volume 4, Page 169; Complete Works Volume 9, Page 413",,,,,
Skeleton,,Character,A bone specimen in the school science room. Given life by Uki's Screw of Life.,"Long Series Volume 17, Page 46",,,,,
Monster (Real Original Machine),,Character,"A monster drawn from the Monster Encyclopedia using the Real Original Machine. Has three eyes, six legs, a spider-like shape, and large teeth.","FF Land Volume 28, Page 101; Color Volume 3, Page 77; Complete Works Volume 13, Page 42",,,,,
Monster (Gian's Doll),,Character,"A monster doll held by Gian. Activated by the Real Light, it attacked its owner Gian with fire. Crushed by Nobita's Bulltra-man. Its cry is 'Gao-on'.","Complete Works Volume 5, Page 20",,,,,
Monster (Dream),,Character,A huge monster Nobita saw in a dream while sleeping on the Dream Pillow. He worried about what would happen if the dream became reality. It was actually a costume being filmed nearby; the person inside came to borrow Nobita's toilet.,"Complete Works Volume 6, Page 29",,,,,
Possession Doll,,Character,A doll Kowaru-kun received from aliens that allows possession. Kowaru possessed it to rescue a collapsed foreigner in the vacant lot.,"TenComi Volume 9, Page 163; FF Land Volume 19, Page 13; Complete Works Volume 5, Page 249",,,,,
Twenty-Faced Villain (Ishikawa Goemon),,Character,The true identity of Ishikawa Goemon.,"TenComi Volume 1, Page 94; FF Land Volume 3, Page 89; Complete Works Volume 1, Page 209",,,,,
Twenty-Faced Thief,,Literary Character,A master thief from Edogawa Ranpo's novels. Nobita compared himself to this character when stealing a book using the Devil's Passport. Frequently referenced as an example of a skillful thief.,"TenComi Volume 13, Page 141; TenComi Volume 32, Page 175; FF Land Volume 17, Page 51; FF Land Volume 40, Page 67; Complete Works Volume 6, Page 251; Complete Works Volume 11, Page 487; Complete Works Volume 13, Page 326",,,,,
Pirate (Galaxy Express),,Character,"A pirate extra on the Galaxy Super Express. Had a hairy, fearsome face and swung a sword. Attacked Suneo in his room. Dialogue: 'War, kyaa, hyee, gotsonko'.","Long Series Volume 16, Page 42",,,,,
Pirate Kid,William Kidd,Character,"William Kidd, a privateer ship captain who became famous as a pirate. Said to have buried treasure on a southern island. [Ref: Captain Kid].","TenComi Volume 17, Page 173; FF Land Volume 23, Page 9; FF Land Volume 26, Page 163; TenComi Volume 45, Page 31; Color Volume 6, Page 7; Complete Works Volume 6, Page 512; Complete Works Volume 9, Page 182; Complete Works Volume 11, Page 259",,,,,
Arsène Lupin,,Character,"A famous thief who emerged from the Imaginary Person Egg. Disguised as a police officer, he recovered Nobita's kendama from Gian.","TenComi Volume 40, Page 48",,,,,
Mountain Monster,,Character,"Said to live on a northern snow mountain. According to Nonbi's friend's grandfather, it occasionally comes south to eat humans.","Long Series Volume 15, Page 63",,,,,
Monster-kun,,Character,"The prince of Monster Land. While flying on a broomstick, he was pulled to the Anything Airport and landed there.","TenComi Volume 32, Page 93; FF Land Volume 33, Page 58; Complete Works Volume 13, Page 140; Complete Works Volume 14, Page 84",,,,,
House Inspector,,Character,A guest called by Nobita's mom because the house had deteriorated in various places. Came to inspect.,"TenComi Volume 21, Page 140; FF Land Volume 29, Page 64; Complete Works Volume 12, Page 93",,,,,
Scientist,,Character,A scientist who despaired of humanity and created Amu and Iimu aiming to build a heaven-like society.,"Long Series Volume 7, Page 193",,,,,
Clerk,,Character,"An employee at Gunsmoke City on Dreamersland's Western Star. Organized a shooting contest for sheriff recruitment. An elderly man with glasses. Shot by Jane during the contest. Dialogue: 'You hit me, so you're disqualified!!'","Long Series Volume 16, Page 75",,,,,
Kakiemon,,Character,"The name inherited by Edo-period pottery artist Sakaida Kakiemon and his successors. Nobita's dad was considering purchasing a Kakiemon pot, and a real one was being borrowed at home.","Plus Volume 4, Page 26",,,,,
Kakikukeko,,Character,"A person Shizuka read aloud to test Nobita, who had memorized the phone book using Memory Bread. Listed at the top of the phone book's gojūon section. Phone number is 999-………","TenComi Volume 2, Page 10; FF Land Volume 7, Page 91; Complete Works Volume 3, Page 239",,,,,
Gang Leader,,Character,A tall elementary student Nobita bumped into. Grabbed Nobita's collar and dragged him to an alley to punch him.,"Complete Works Volume 13, Page 501",,,,,
Gang Leader's Companion,,Character,A glasses-wearing elementary student accompanying the Gang Leader. Helped drag Nobita to the alley to punch him.,"Complete Works Volume 13, Page 501",,,,,
Persimmon Tree Old Man,,Character,"An old man who planted a persimmon tree in his yard. Many persimmons grew, but he was troubled by Gian and Suneo stealing them.","FF Land Volume 11, Page 178; Complete Works Volume 5, Page 167",,,,,
